BBL,ENERGY STAR Score,Calendar Year,Emisiones DOB,ranking
4156610012,75.0,2022,674.2,24284
4017590030,58.0,2022,315.8,20268
4098200049,57.0,2022,316.6,20550
4097640082,74.0,2022,402.0,19039
4098200038,56.0,2022,321.5,21014
4015560033,86.0,2022,285.5,10721
4015120026,50.0,2022,505.1,27850
4015560043,76.0,2022,347.0,16416
3029500001,,2022,659.6,
3028020014,,2022,120.6,
4005920008,85.0,2022,172.6,6156
3002297501,84.0,2022,201.2,7549
1008880051,,2022,68.9,
3019610006,86.0,2022,123.7,4380
5024507509,71.0,2022,578.6,24181
4049720057,97.0,2022,83.4,2046
1010320048,100.0,2022,292.0,6793
2022820075,83.0,2022,77.9,3869
2022830040,82.0,2022,205.8,8193
1020320055,36.0,2022,539.2,30572
1020670012,11.0,2022,250.7,24433
1022410024,1.0,2022,457.6,32472
1022280014,59.0,2022,208.4,13760
1022280001,46.0,2022,166.5,13720
1018810032,100.0,2022,15.9,138
4003740012,100.0,2022,110.0,1513
1007180001,100.0,2022,0.5,8
3087640004,100.0,2022,21.7,181
5022500002,,2022,1779.1,
5022500250,,2022,381.6,
3014320028,56.0,2022,133.8,10176
4072480015,5.0,2022,273.3,26353
1013050001,,2022,878.2,
2032920034,98.0,2022,109.3,2351
4026320012,99.0,2022,23.5,1058
1019290006,16.0,2022,160.1,17732
2023650035,,2022,30.7,
3014320005,55.0,2022,102.8,9186
5000510080,,2022,0.0,
4015360130,62.0,2022,375.9,21724
4050020057,,2022,0.0,
4050207503,70.0,2022,285.0,15304
3049470021,100.0,2022,64.4,804
3049320006,97.0,2022,75.4,1934
1002050030,22.0,2022,212.3,20720
1004710025,98.0,2022,80.5,1876
3051020063,80.0,2022,480.5,19284
3066000045,69.0,2022,365.7,19356
3050550082,93.0,2022,173.1,4748
3054910001,86.0,2022,274.6,10254
3014260040,56.0,2022,447.3,25341
4096800018,69.0,2022,322.8,17516
3046520069,87.0,2022,307.4,11377
3012960039,74.0,2022,269.4,13390
4108210060,72.0,2022,376.9,18856
3014190062,83.0,2022,422.9,16697
3014250006,70.0,2022,343.1,18143
3012640023,93.0,2022,485.1,15045
3013920023,99.0,2022,257.3,6741
3013040129,85.0,2022,376.8,14618
3013150027,87.0,2022,317.4,11780
3031400001,48.0,2022,629.8,29973
3014030025,87.0,2022,250.0,8950
3066630063,84.0,2022,298.3,11862
3013270001,68.0,2022,364.0,19606
3046680069,78.0,2022,273.7,12445
3050580024,80.0,2022,297.2,13025
3013890072,56.0,2022,453.4,25494
3048680034,72.0,2022,305.4,15804
2028030038,60.0,2022,293.2,18514
3012910008,78.0,2022,258.7,11750
1022470001,53.0,2022,305.2,20888
3050560064,87.0,2022,240.7,8563
3012500053,100.0,2022,12.0,112
3012500060,19.0,2022,481.2,31353
1020800011,92.0,2022,176.0,5005
1018830022,56.0,2022,143.7,10596
1018510005,93.0,2022,352.5,11410
1012120110,36.0,2022,369.7,26767
1005680024,,2022,244.9,
1018900064,97.0,2022,150.7,3454
1010460036,,2022,288.9,
1021800570,100.0,2022,705.3,14889
2043190025,52.0,2022,402.6,24881
2043170019,66.0,2022,310.5,17846
1008040013,84.0,2022,246.2,9537
2032580050,11.0,2022,532.1,32726
1008280064,84.0,2022,233.7,8991
4051810046,,2022,698.7,
3056060017,88.0,2022,132.2,4270
2032370103,100.0,2022,33.1,287
2043180030,80.0,2022,252.6,10883
1008310010,89.0,2022,204.4,6670
2033180069,57.0,2022,155.0,10963
2024550053,15.0,2022,821.2,34611
1018880053,76.0,2022,193.8,8940
1018880063,64.0,2022,209.5,12657
1012420001,97.0,2022,166.0,3887
1008330024,,2022,89.6,
3043220001,1.0,2022,181.9,21214
1000890003,9.0,2022,816.4,34876
3013110066,,2022,203.0,
4003650001,,2022,79.8,
4025850021,,2022,684.6,
4002750023,,2022,133.3,
4002850001,,2022,126.2,
1003030027,97.0,2022,48.7,1536
1008330018,65.0,2022,655.6,26891
1008330063,41.0,2022,352.7,25318
1008330057,73.0,2022,467.0,21330
4076100040,5.0,2022,254.2,25329
4049800001,45.0,2022,151.3,13017
3027007501,42.0,2022,242.7,19524
1014120058,3.0,2022,361.0,30133
3029880014,39.0,2022,76.9,10775
1007940017,36.0,2022,340.2,25708
3010410001,13.0,2022,582.4,33140
1017170022,50.0,2022,156.5,12319
1015537501,,2022,84.7,
3036967501,95.0,2022,454.4,13794
3010470003,100.0,2022,225.3,4631
3069900001,25.0,2022,683.8,33102
3077290025,4.0,2022,871.3,35323
1020130009,98.0,2022,80.8,1879
1015590031,,2022,284.3,
1014210001,30.0,2022,1749.3,35435
3011457502,100.0,2022,40.0,375
3083317501,100.0,2022,3.3,41
3023750005,99.0,2022,132.4,2676
3019337501,99.0,2022,301.2,8219
2033010066,17.0,2022,232.4,22688
2032030044,16.0,2022,265.6,24725
2037410001,1.0,2022,843.2,35421
2031740018,100.0,2022,51.9,575
2032700113,65.0,2022,202.5,11961
3030720040,95.0,2022,296.5,8983
1008790054,72.0,2022,202.6,10328
1005607501,64.0,2022,1130.9,30553
1019930073,2.0,2022,251.8,25573
1019950016,73.0,2022,334.2,16833
3020120001,86.0,2022,514.5,18011
3050720006,96.0,2022,148.3,3533
3010930038,78.0,2022,178.6,7820
3018430020,24.0,2022,368.3,28263
1007190029,1.0,2022,412.5,31626
1013430024,83.0,2022,149.8,5703
1018460044,96.0,2022,136.7,3221
3010810043,40.0,2022,277.4,21989
3018930004,84.0,2022,194.6,7265
3019057502,77.0,2022,575.1,22294
3019057503,68.0,2022,581.3,25036
4020860040,57.0,2022,2351.4,33437
1003720041,46.0,2022,619.3,30179
4049680024,28.0,2022,54.0,11446
3019940007,48.0,2022,127.8,11274
1008610059,56.0,2022,289.0,19315
2039320182,36.0,2022,361.6,26496
4013340013,72.0,2022,340.6,17449
1019510014,1.0,2022,446.9,32273
1020810001,1.0,2022,392.7,31176
3018370053,35.0,2022,182.8,16714
3018480001,33.0,2022,166.0,15843
1011410051,87.0,2022,375.7,13913
3048370065,95.0,2022,105.8,2669
1005570017,100.0,2022,232.7,4862
1004667501,26.0,2022,283.1,24440
2024560037,1.0,2022,673.5,34625
1021420015,100.0,2022,45.9,470
1021420012,71.0,2022,206.9,10821
1021420009,66.0,2022,216.2,12564
1014050066,100.0,2022,36.8,328
3050557502,100.0,2022,40.6,383
3029167505,52.0,2022,128.0,10600
1018720054,40.0,2022,459.0,28579
2025990146,100.0,2022,321.7,7677
3018030072,100.0,2022,24.4,201
1005440013,52.0,2022,300.2,20836
1007890040,44.0,2022,150.7,13148
3044960015,100.0,2022,79.9,1065
2026007501,92.0,2022,524.3,16189
2031757501,100.0,2022,423.2,10257
